Name,Category,Price,Description
"Burger + Fries + Milkshake","Combo Meals & Family Deals","CA$18.99","Choose your Burger. Choose your side. Choose your Milkshake."
"1lb Wings, Fries & Dip","Combo Meals & Family Deals","CA$19.49","Enjoy 1 pound of Wings, Regular fries and a Dip. Please select only 1 Dip for this combo."
"3 Chicken Tenders | Fries | Dip","Combo Meals & Family Deals","CA$13.95","Crispy Chicken Tenders, comes with Dipping sauce and Regular Fries."
"Dinner for 1","Combo Meals & Family Deals","CA$18.99","Your personal feast, Windsor style. Includes 1 lb of crispy, made to order wings with your choice of sauce, 1 regular fries, and a can of pop. It's the perfect solo combo for a real flavor fix."
"Dinner for 2","Combo Meals & Family Deals","CA$33.99","Double the wings. Double the flavor. Includes 2 lb of hand breaded wings (2 sauces), 2 regular fries, and 2 cans of pop. Built fresh for two or one hungry Windsor wing lover."
"2lb Wings Website Only Deal","Combo Meals & Family Deals","CA$24.99","2LB Chicken Wings with 2 flavors. Website only deal."
"2lb Wings 2 Fries Website Only","Combo Meals & Family Deals","CA$29.99","2 lb Chicken wings, 2 Fries."
"Family Deal","Combo Meals & Family Deals","CA$48.99","Family Deal: 2 Pound Wings, 5 Tenders, 2 sides, 4 cans of pop and 2 dips."
"Original Chicken 2 Fries 2 Cans of Pop (Takeout Only)","Combo Meals & Family Deals","CA$19.99 - CA$29.99","Original Chicken, 2 Fries, 2 Cans of pop. Takeout only."
"1 LB Chicken Wings","Chicken Wings","CA$14.50","Windsor's favorite wings, made fresh to order. Choose breaded, boneless, or naked. Hand tossed in over 25 sauces, these wings are always cooked to crispy perfection and coated just how you like 'em."
"2 LB Chicken Wings","Chicken Wings","CA$27.95","Windsor's favorite wings, made fresh to order. 2 Free Flavors. Choose breaded, boneless, or naked. Hand-tossed in over 25 sauces."
"3 LB Chicken Wings","Chicken Wings","CA$41.95","Windsor's favorite wings, made fresh to order. 3 Free Flavors. Choose breaded, boneless, or naked. Hand tossed in over 25 sauces."
"4 LB Chicken Wings","Chicken Wings","CA$54.95","Windsor's favorite wings, made fresh to order. 4 Free Flavors. Choose breaded, boneless, or naked. Hand tossed in over 25 sauces."
"5 LB Chicken Wings","Chicken Wings","CA$67.95","Windsor's favorite wings, made fresh to order. 3 Free Flavors. Choose breaded, boneless, or naked. Hand tossed in over 25 sauces."
"Original Chicken","Chicken Burgers & Wraps","CA$9.99","Crispy, juicy, and seasoned with our house spice blend. This chicken burger is hand breaded, fried to a golden crunch, and finished with lettuce, pickles, and mayo on a toasted Brioche bun."
"H.M.B","Chicken Burgers & Wraps","CA$10.99","Sweet heat meets savory spice. Golden fried chicken, layered with our signature spices, pickles, Jalapenos, Comeback Sauce, Honey Mustard Sauce and Coleslaw. Made fresh in Windsor, it's bold, tangy, and seriously addictive."
"Nashville Burger","Chicken Burgers & Wraps","CA$10.99","Fried crispy, spiced hot, and full of flavor. We coat our chicken in our signature Nashville seasoning, fry it fresh, and finish with comeback sauce, pickles and Lettuce. It's Windsor's top pick for that perfect balance of heat and crunch."
"Crispy Chicken Wrap","Chicken Burgers & Wraps","CA$9.49","Fast, fresh, and full of flavor. Crispy chicken with lettuce, tomato and your choice of spicy or mayo sauce, wrapped tight in a soft tortilla. A Windsor classic that's easy to grab, hard to forget."
"3 Chicken Tenders","Tenders & Hot Shots","CA$9.99","Crispy outside. Juicy inside. Always made fresh. Our tenders are hand breaded and seasoned with our custom spice mix, then fried until golden. Served with your choice of dip."
"5 Chicken Tenders","Tenders & Hot Shots","CA$14.99","Crispy outside. Juicy inside. Always made fresh. Our tenders are hand breaded and seasoned with our custom spice mix, then fried until golden. Served with your choice of 2 dips."
"Hot Shots","Tenders & Hot Shots","CA$11.99","Bold spice. Big crunch. Bite sized. Fresh chicken chunks tossed in our signature blend of spices, then flash fried until crispy."
"Fries","Sides","CA$3.99","Crispy, golden and clear coated. Choose regular or large. Our fries are cooked fresh and seasoned just right, great on their own or as the perfect sidekick."
"Onion Rings","Sides","CA$4.99","Choose regular or large. Our Onion rings are cooked fresh and seasoned just right."
"Potato Wedges","Sides","CA$5.99","Thick cut, crispy outside, fluffy inside. Seasoned with a light blend of spices, our wedges are hot, hearty, and seriously satisfying."
"Poutine","Sides","CA$7.99","Crispy fries, real cheese curds, rich savory gravy. Our Windsor style poutine starts with golden fries, loaded with fresh cheese curds and smothered in hot vegetarian gravy."
"Fried Dill Pickles","Sides","CA$7.99","Tangy, crunchy, and seriously snackable. Zesty pickle slices coated in a seasoned breading and fried until crispy."
"Cheezy Tater Bombs (6)","Sides","CA$8.99","Crispy golden potato bites stuffed with gooey cheddar cheese. Perfectly fried, melty on the inside, crunchy on the outside."
"Jalapeno Poppers","Sides","CA$7.99","Creamy, cheesy heat in every crispy bite. (7 Pieces) Our jalapeño poppers are stuffed with smooth cream cheese, lightly breaded, and fried until golden."
"Funnel Cake Sticks","Desserts & Milkshakes","CA$7.99","Crispy, sweet, and dusted in cinnamon sugar. These golden funnel cake sticks are deep fried to perfection and served with warm caramel dip."
"MilkShake","Desserts & Milkshakes","CA$5.99","Thick, creamy, and blended to order. Choose classic vanilla or rich chocolate. Our milkshakes are smooth, sweet, and pair perfectly with wings, burgers, or anything in between."
"Bottle Water (500ml)","Drinks & Dips","CA$1.99",""
"Jarritos (Mexican Cola)","Drinks & Dips","CA$3.49",""
"Coke / Coke Zero / Pepsi","Drinks & Dips","CA$1.69","Choose from Can or Bottle"
"Iced Tea / Orange Crush / Dr. Pepper","Drinks & Dips","CA$1.69","Can"
"Dipping Sauces","Drinks & Dips","CA$1.49","Options: BBQ Dip, Cheddar Chipotle Dip, Ancho Chipotle Dip, Blue Cheese Dip"